escalation_level,age,tenure_months,loyalty_status,segment,region,industry,channel,issue_category,issue_subtype,product_line,device_type,time_of_day_bucket,wait_time_seconds,previous_interactions_30d,resolution_time_minutes,agent_experience_years,first_contact_resolution,number_of_transfers,SLA_breaches_last_6m,lifetime_tickets,average_response_delay,sentiment_score,monthly_fee,subscription_value_str,churn_risk_band,priority_flag,behaviour_score_1,behaviour_score_2,behaviour_score_3,behaviour_score_4,behaviour_score_5,ops_telemetry_kpi_1,ops_telemetry_kpi_2,ops_telemetry_kpi_3,ops_telemetry_kpi_4,ops_telemetry_kpi_5,post_interaction_quality_score,risk_indicator,service_pressure_score,customer_engagement_score
Serious escalation,53.0,23,Silver,Business,Midlands,Finance,Phone,Technical,Password reset,Premium,Web,Afternoon,323,1,55,2.5,Yes,1,1,8,0.96,-0.98611449,34.0,314.8,Low,No,59.0,53.5,5.9,52.5,50.3,0.6572,0.3957,-2.6274,-0.2595,0.6068,6.321160115,23.877186050777553,22.069732441442373,6.574054278529358
Serious escalation,35.0,16,Bronze,Enterprise,North West,Tech,Phone,Other,Other,Standard,Desktop,Evening,149,4,54,3.0,No,0,0,23,1.31,,61.33,444.24,High,No,10.8,19.3,58.9,66.6,48.3,2.6618,1.0204,-0.1952,-0.7215,0.2263,5.60373013,29.904036887178005,13.819806780665246,
Serious escalation,38.0,7,Bronze,Retail,Midlands,Finance,Chat,Billing,Refund status,Premium,Mobile,Evening,319,1,47,3.8,Yes,1,1,13,1.36,0.084225997,52.81,434.25,Medium,No,55.5,73.3,50.1,24.3,47.6,-0.4227,0.0754,-0.3834,1.293,-0.0724,6.116388349,33.732633821916956,21.925864822696823,8.816953272581655
Serious escalation,36.0,24,Silver,Business,Scotland,Retail,Phone,Technical,Payment failed,Standard,Mobile,Evening,360,0,9,3.7,No,1,1,3,2.28,1.209315745,77.68,381.23,Low,No,55.2,54.2,44.9,40.5,46.6,-1.6793,-0.5514,0.1435,1.1021,0.9121,6.871741941,24.519955086525364,19.40354028255909,1.172578746620497
No escalation,43.0,50,Bronze,Enterprise,South East,Healthcare,Chat,Account,Password reset,Basic,Mobile,Morning,147,0,46,5.5,Yes,2,0,5,2.19,1.847629723,51.22,539.84,Low,No,53.6,53.4,72.0,49.1,52.7,0.0555,-1.8332,0.1776,0.4271,-0.8398,-0.328797774,0.0,6.4007705340860515,0.0
Minor escalation,44.0,17,Bronze,Student,Wales,Education,In-app,Account,Password reset,Standard,Mobile,Morning,137,0,47,4.4,Yes,0,1,7,1.4,-1.359851091,49.4,395.27,Low,No,43.7,70.0,34.6,46.0,61.7,0.6159,0.4552,0.8254,0.3954,0.2255,3.506967643,14.95327060699356,9.660306346789296,8.151539526135483
Minor escalation,45.0,64,Bronze,Retail,London,Education,Email,Returns,Outage,Basic,Mobile,Afternoon,190,0,86,3.1,Yes,0,1,13,2.95,0.577368272,46.73,,Low,No,45.2,81.7,54.3,52.3,75.9,-0.108,-0.2608,-1.5689,0.644,1.5567,2.429197571,17.49562398781253,16.901694027177953,9.069526817940949
Legal escalation,52.0,7,Bronze,Retail,Midlands,Hospitality,Email,Billing,Other,Standard,Mobile,Afternoon,354,0,1,4.8,No,0,0,8,1.84,,39.07,367.85,Medium,No,28.6,60.7,63.7,41.4,51.0,1.846,0.1717,0.2897,-0.9818,-0.6327,8.781735878,41.945489071171984,20.62853315636484,
Minor escalation,38.0,0,Silver,Retail,South East,Retail,Phone,Technical,Wrong item,Standard,Mobile,Afternoon,180,1,71,3.7,Yes,1,2,32,2.51,0.424527339,52.93,647.59,Medium,No,39.6,54.3,48.8,51.2,56.7,0.1153,1.0251,0.9009,0.9401,-0.3395,2.012390573,21.815533587364335,12.169807206980122,7.688875987724528
No escalation,27.0,18,Gold,Business,Midlands,Tech,Email,Technical,Payment failed,Premium,Mobile,Evening,226,1,28,1.9,Yes,1,0,21,1.55,1.929477824,59.13,587.06,Low,No,47.4,42.9,46.6,17.0,50.2,-2.4332,0.2455,-0.9999,-0.7667,-0.2904,-0.437677414,5.071644789313175,15.384937169799407,2.9885225150811303
No escalation,28.0,91,Bronze,Retail,Mid-lands,Retail,Phone,Account,Damaged item,Basic,Mobile,Evening,283,3,50,6.1,Yes,2,0,9,1.13,1.608060894,52.25,160.76,Medium,No,30.7,38.4,35.7,36.6,54.9,-1.6469,0.2418,0.5122,-0.5269,-1.4878,-0.615448112,12.607707938382372,13.486437669414475,2.008786047746669
No escalation,22.0,50,Bronze,Other,North West,Retail,Phone,Technical,Refund status,Standard,Web,Night,38,3,9,4.1,No,1,0,14,2.67,1.174507931,5.0,856.29,Low,No,46.2,57.5,34.6,38.8,56.9,-0.4308,0.9009,0.6937,-0.1956,-0.6285,-0.87312656,5.31641328561834,0.7846468543218972,6.016881375650144
Minor escalation,42.0,28,Bronze,Retail,Scotland,Retail,Phone,Other,Other,Standard,Desktop,Evening,97,1,37,6.7,Yes,1,0,11,1.22,-2.130359436,15.23,681.09,Low,Yes,54.6,37.8,54.2,46.5,29.1,-0.5334,0.4668,0.8458,1.1266,0.4407,2.862583729,18.647694140814355,10.441938891545426,14.408987083614544
Minor escalation,40.0,36,Bronze,Retail,London,Finance,Phone,Billing,Invoice error,Basic,Desktop,Evening,170,4,76,3.3,Yes,0,0,1,2.84,0.153897007,16.29,194.25,Low,No,35.2,37.3,61.2,52.3,21.8,0.1373,0.6399,1.6075,-0.9061,0.1814,3.352320124,16.571019531550387,8.457946160088323,5.902815246923624
Minor escalation,18.0,69,Bronze,Business,North West,Finance,Chat,Account,Delayed delivery,Basic,Web,Afternoon,268,0,64,4.9,Yes,0,0,5,0.85,-0.870290742,46.71,440.18,Low,Yes,34.9,70.0,69.4,50.8,32.3,0.2475,-1.0309,0.553,-0.7183,-0.9027,3.062967094,13.180420963865114,13.681203383913,1.748222131206754
No escalation,19.0,65,Silver,Business,South East,Finance,Phone,Billing,Payment failed,Standard,Mobile,Evening,181,0,88,1.9,Yes,0,1,21,0.6,0.073658903,13.32,354.51,Medium,No,54.8,37.8,47.1,33.2,43.0,-0.613,-0.5178,1.1049,-0.4442,1.5031,-0.652242468,0.0,11.001900010701801,2.012728146199794
Minor escalation,46.0,81,Gold,Retail,South East,Tech,Phone,Account,Wrong item,Basic,Mobile,Morning,272,0,22,6.8,Yes,1,0,4,4.51,0.665934045,37.52,712.51,Medium,Yes,48.7,78.1,53.6,41.5,50.1,0.7491,1.4589,0.7416,-0.7537,0.8409,3.250276003,13.852281059084172,14.402845835675388,0.6088056264953012
No escalation,45.0,48,Gold,Retail,London,Tech,Phone,Account,Delayed delivery,Standard,Mobile,Night,262,1,64,2.9,Yes,0,1,18,1.13,0.502535489,49.67,519.54,Low,No,74.2,68.9,55.8,32.2,42.4,-0.4891,1.8067,0.6519,-0.2243,-1.1014,0.653967715,1.666231875450398,11.804910892515856,6.787538039560811
Minor escalation,37.0,42,Platinum,Retail,North West,Healthcare,Chat,Orders,Outage,Standard,Call-Centre,Night,182,0,81,6.2,Yes,1,0,10,1.47,-0.714484439,34.64,151.55,Medium,Yes,64.9,31.7,48.4,56.2,42.1,0.1507,0.9465,-2.4892,-1.6343,-1.0472,2.490117357,15.368012969070463,13.152284140678402,7.507276274328186
Minor escalation,44.0,52,Bronze,Business,Wales,Healthcare,Chat,Account,Slow internet,Basic,Web,Evening,279,0,36,3.2,No,2,0,5,3.42,0.524651228,44.8,534.47,High,No,76.0,43.5,46.7,54.2,58.2,-1.8978,0.585,-0.7394,-0.8722,-0.1932,3.435183788,8.52400055848669,17.00843389259855,0.7189463394590265
Minor escalation,76.0,5,Bronze,Business,South East,Tech,Chat,Billing,Delayed delivery,Basic,Web,Afternoon,246,0,53,6.7,No,1,0,12,0.0,1.014533905,35.99,318.1,Medium,Yes,63.0,55.2,48.9,55.5,42.6,0.6754,0.6705,0.8233,-1.0371,-0.2389,3.074512138,6.961191139241738,15.712811606406529,3.3154761528866725
No escalation,39.0,28,Gold,Retail,Midlands,Tech,In-app,Other,Slow internet,Basic,Web,Evening,75,1,24,6.6,No,2,0,11,4.27,-0.140823859,41.35,443.87,Low,No,44.4,63.1,54.2,66.5,65.0,0.3343,0.5346,0.5014,1.2378,0.3778,-0.175181932,3.69095225612338,3.899940868549151,5.517236833549061
Minor escalation,37.0,70,Silver,Retail,Wales,Finance,Chat,Account,Slow internet,Premium,Mobile,Morning,107,0,68,6.7,No,1,1,23,1.26,0.627433037,66.49,338.86,Low,No,71.0,49.1,48.0,29.3,47.7,0.1671,-0.0331,1.0619,-0.6692,1.2057,2.436290961,8.856724060047565,12.141756668030686,5.1294217246097045
Minor escalation,43.0,78,Bronze,Business,South East,Finance,Chat,Other,Slow internet,Basic,Mobile,Morning,0,1,66,5.3,Yes,0,1,25,4.14,-0.156168651,54.64,498.71,Medium,No,63.5,86.0,21.0,34.1,32.8,1.9618,-0.1624,-2.7534,1.9357,-0.1322,2.564329833,16.78418458245818,4.499560501415216,8.761772069532327
No escalation,18.0,68,Bronze,Retail,London,Finance,In-app,Technical,Payment failed,Premium,Mobile,Afternoon,205,1,40,5.6,Yes,1,1,36,1.81,1.60291559,16.14,860.68,High,No,51.4,33.7,62.7,14.9,31.4,0.8391,0.7148,-0.8259,0.6783,-0.1367,0.4054204,2.688115116329401,8.835677806788699,4.615512438405032
No escalation,45.0,8,Bronze,Business,Scotland,Finance,Phone,Other,Other,Standard,Mobile,Evening,107,1,28,4.0,No,0,0,22,0.57,-0.006512707,77.17,236.1,Low,Yes,62.8,29.3,32.0,40.4,72.1,0.7139,-1.1874,-1.9984,-1.6416,-0.4762,-0.36538037,0.0,4.645309938319119,7.67012556103815
No escalation,37.0,35,Bronze,Retail,London,Retail,In-app,Billing,Invoice error,Basic,Web,Afternoon,250,1,61,4.6,Yes,0,0,36,2.54,1.625971691,54.37,404.88,Low,No,29.5,66.6,51.2,53.2,31.6,-0.8536,-1.3904,0.8525,-0.7423,-1.2293,-0.728392668,2.3598248268651765,10.316150608733011,0.8560476526521761
No escalation,31.0,23,Bronze,Retail,South East,Retail,Phone,Account,Payment failed,Basic,Mobile,Morning,38,0,8,4.5,Yes,0,0,10,1.35,-0.422627331,15.96,316.51,Medium,Yes,67.1,46.4,58.3,35.6,50.9,1.9815,-0.2717,-0.0455,0.9808,-0.5079,-0.282231468,0.0,4.182440360898482,
Serious escalation,40.0,1,Bronze,Enterprise,London,Tech,Email,Returns,Payment failed,Premium,Mobile,Morning,167,0,102,4.3,Yes,0,1,16,2.99,2.490982002,34.34,178.23,High,Yes,42.2,33.1,68.7,40.6,48.9,0.7626,-0.8886,-0.2558,-0.1232,1.3016,6.652020207,31.51554244062423,18.88399408290797,6.187388587421094
Minor escalation,39.0,24,Bronze,Enterprise,North West,Hospitality,Phone,Billing,Outage,Premium,Mobile,Evening,239,2,31,5.6,Yes,1,1,15,3.98,-0.188451224,26.23,285.01,Medium,No,49.4,76.5,52.7,44.2,19.3,-1.071,-0.0932,0.6288,1.4897,2.587,2.895106812,10.106240880541188,17.8681714695337,4.756676322192586
No escalation,49.0,71,Bronze,Enterprise,Wales,Education,Email,Billing,Invoice error,Basic,Web,Afternoon,199,1,7,6.8,No,2,3,13,3.89,1.996778326,16.73,484.09,Low,No,61.7,39.3,71.2,70.7,51.0,-0.3274,0.8411,-0.5035,-0.9567,-1.2619,-0.591261209,0.0,9.892224280787028,0.162365524408719
Minor escalation,35.0,25,Bronze,Retail,London,Tech,Chat,Billing,Locked account,Standard,Web,Afternoon,22,1,74,5.8,Yes,1,1,26,3.32,-1.086879648,16.04,444.84,Medium,No,71.5,63.2,82.1,25.1,36.1,0.0842,-0.4719,0.4515,-1.3454,-0.2088,2.610340173,8.626840265656448,11.554667929998427,8.068734447784346
Minor escalation,24.0,0,Silver,Retail,North West,Healthcare,Phone,Other,Outage,Premium,Desktop,Afternoon,65,3,31,3.0,Yes,2,0,3,2.26,-0.416029602,42.26,459.63,Low,No,52.5,50.4,35.7,68.4,29.1,0.1041,-0.5585,1.9812,-0.4449,0.2623,2.706182243,16.942814209461616,11.043396576430236,6.185223276499087
No escalation,48.0,30,Bronze,Retail,Midlands,Healthcare,Chat,Technical,Delayed delivery,Standard,Mobile,Afternoon,186,0,18,3.8,No,0,0,7,2.13,1.729361079,58.19,238.22,Low,No,52.9,34.6,27.6,67.0,71.5,1.5557,0.4131,0.8683,0.182,0.5489,-0.109293926,0.0,6.045061910088811,0.0
Serious escalation,34.0,16,Bronze,Retail,Wales,Hospitality,Chat,Other,Other,Enterprise,Mobile,Evening,253,1,28,9.7,Yes,1,0,31,0.78,0.767311366,45.71,369.09,Low,No,52.8,50.9,25.3,34.1,43.0,-1.1456,0.8078,0.0605,1.9153,0.7485,5.591680195,44.03214693332612,17.02186833542027,12.425665264571695
Minor escalation,46.0,12,Gold,Business,Midlands,Healthcare,Chat,Technical,Invoice error,Standard,Web,Afternoon,261,3,10,3.9,Yes,0,0,4,3.21,-0.536330808,29.06,574.72,Medium,No,40.1,58.4,29.9,61.9,51.7,0.6745,0.2917,1.2241,1.5687,-0.6791,3.774829705,12.736686433852068,10.451200260112739,7.1358851186025465
Minor escalation,42.0,5,Gold,Business,London,Education,Phone,Billing,Other,Standard,Desktop,Evening,348,1,55,4.9,Yes,0,0,2,2.46,-0.21336668,37.64,73.22,Low,No,34.8,38.1,33.7,51.7,25.3,-0.689,-0.6278,-1.5676,-3.1087,0.7704,2.32190926,17.592431152491937,14.11894769818657,5.256099113594726
Minor escalation,31.0,25,Gold,Business,Midlands,Tech,Chat,Returns,Wrong item,Basic,Mobile,Afternoon,166,1,37,1.0,Yes,2,0,27,2.86,0.342517992,35.42,210.33,Medium,No,53.2,36.9,60.7,53.4,58.1,0.142,-0.2779,-0.351,-0.0151,-0.307,3.036819217,10.382940099426742,11.596497642907265,5.220041671572039
Serious escalation,31.0,0,Silver,Retail,Scotland,Healthcare,Email,Orders,Password reset,Basic,Mobile,Night,347,4,14,3.5,Yes,0,0,3,3.85,1.895051555,43.27,50,Medium,No,4.7,48.8,58.0,55.5,54.6,0.9452,-0.4657,-0.3924,0.5533,0.7007,5.48085457,31.406682947252975,18.451233101967706,7.633873859293822
Minor escalation,47.0,29,Silver,Retail,Midlands,Healthcare,Phone,Billing,Invoice error,Basic,Mobile,Afternoon,47,0,53,3.7,Yes,0,0,12,3.61,-0.17848063,35.71,459.51,Low,No,51.0,45.5,28.9,43.6,50.9,1.2793,-0.1122,-0.8889,0.6215,1.1952,3.881270892,10.997158485675413,6.4182921908926325,6.594490184906926
No escalation,28.0,52,Bronze,Retail,Scotland,Tech,Phone,Returns,Slow internet,Standard,Mobile,Morning,148,0,45,6.7,Yes,0,1,17,1.41,1.202009015,35.0,50,High,Yes,60.4,91.3,63.2,43.9,33.4,-1.4416,-0.8458,-0.3513,-0.474,-0.3793,-0.243349144,3.672338019575512,6.4969039979766565,0.0
Minor escalation,55.0,37,Gold,Retail,Midlands,Tech,Email,Billing,Refund status,Basic,Mobile,Evening,361,3,50,3.1,Yes,0,0,46,3.57,-2.054372901,32.36,137.49,High,No,44.1,44.5,30.7,53.9,54.6,-0.6516,0.8407,0.3913,-1.9049,-0.4317,2.748853747,14.446163273250514,14.539631027859933,12.925296051159926
Legal escalation,18.0,63,Bronze,Retail,Scotland,Education,Chat,Technical,Refund status,Basic,Web,Evening,0,2,1,3.6,Yes,0,0,16,2.17,-0.241047593,47.83,342.95,High,No,37.6,70.4,58.4,34.1,65.9,-0.1429,0.0439,-0.0361,-1.6313,-0.1475,9.405685313,54.692816120145466,13.525788063538265,13.33487098542551
No escalation,42.0,7,Bronze,Retail,South East,Finance,Phone,Billing,Payment failed,Standard,Mobile,Evening,214,2,71,3.4,Yes,0,0,6,2.82,-1.490785625,23.01,465.47,Low,Yes,16.6,40.4,70.0,50.9,27.5,0.8771,1.4671,-0.0713,0.1818,-0.5303,0.595831315,0.0,9.987684409033925,5.832801242670486
No escalation,18.0,23,Gold,Retail,Scotland,Tech,Chat,Technical,Damaged item,Premium,Mobile,Evening,144,1,1,3.6,Yes,1,0,4,1.62,,73.75,662.68,Low,No,44.7,64.4,48.7,41.1,45.2,-0.8613,-0.6018,1.7484,0.0054,-0.6608,-0.37574099,1.1747110357659474,8.275271248185934,
No escalation,59.0,19,Silver,Retail,Wales,Healthcare,Phone,Billing,Locked account,Basic,Mobile,Afternoon,229,0,59,3.8,No,0,1,20,2.48,-0.33121269,49.97,552.2,Low,No,37.6,25.7,66.5,40.9,50.6,1.116,-0.1737,-0.2119,0.31,-0.6521,0.537281335,0.0,6.944407227332409,3.153771137756972
No escalation,43.0,0,Silver,Retail,Midlands,Finance,Phone,Technical,Refund status,Standard,Desktop,Morning,129,0,21,7.6,Yes,0,0,24,3.06,-0.261558328,59.09,682.46,Low,No,55.5,53.2,41.7,23.2,17.5,0.63,-0.8442,0.095,0.1015,1.1237,-0.386407985,0.0,6.113161306360981,6.840137991003726
Serious escalation,18.0,43,,Retail,London,Tech,Phone,Returns,Payment failed,Premium,Mobile,Evening,199,1,20,5.3,Yes,1,0,23,3.69,2.206007249,27.64,784.18,Low,No,71.2,30.9,47.0,52.1,38.9,-0.3659,-0.5599,0.4443,-0.4335,0.0137,6.860431355,28.09777294521855,12.524844956174162,2.4099744893622717
Minor escalation,28.0,0,Bronze,Retail,North West,Hospitality,Phone,Other,Other,Basic,Mobile,Afternoon,138,1,60,4.8,Yes,1,0,4,3.75,-0.749100669,52.49,723.92,Low,Yes,50.5,63.3,44.8,49.2,62.2,-0.497,0.3185,0.105,0.3906,-0.0455,2.143184168,12.928454042280762,12.108059343296008,7.666101353902221
Serious escalation,43.0,49,Bronze,Other,London,Education,Phone,Returns,Refund status,Premium,Mobile,Morning,162,1,56,1.9,Yes,0,0,12,0.96,-0.991161592,52.83,220.64,Low,No,52.2,41.4,46.9,41.0,67.9,-0.577,0.6073,-0.0992,-0.0504,-1.1549,5.942742126,24.99910824908806,12.245611848837644,9.809974695705552
Serious escalation,23.0,27,Bronze,Retail,South East,Healthcare,Email,Other,Password reset,Enterprise,Mobile,Morning,257,1,50,5.4,No,0,1,10,0.42,0.091062126,24.46,543.17,Low,No,41.6,46.0,42.4,55.9,35.4,0.4408,-0.0114,2.5508,0.3367,0.2294,7.266632453,30.510576344495046,19.438516474203666,11.539808932472763
Minor escalation,31.0,34,Bronze,Retail,London,Retail,Phone,Orders,Refund status,Premium,Web,Afternoon,343,1,14,2.7,Yes,1,0,10,0.89,-0.039018986,36.01,390.34,Low,No,44.1,57.6,47.1,38.2,72.0,-0.389,-2.2136,0.0598,-0.5672,0.1154,2.986058091,11.126672586843373,12.427523352521867,9.05853048486157
No escalation,19.0,68,Gold,Business,Midlands,Retail,Chat,Billing,Locked account,Standard,Mobile,Morning,222,4,43,6.1,No,0,0,23,1.04,-0.305775186,45.38,773.39,Low,No,33.7,46.8,62.5,38.2,76.2,2.1322,-1.3519,0.115,-0.9359,-0.6307,-0.305683619,0.0,9.763689682054443,11.245820517502562
Serious escalation,29.0,36,Bronze,Business,London,Healthcare,Phone,Technical,Payment failed,Premium,Web,Evening,121,2,24,2.2,No,1,0,2,1.96,0.633551305,46.89,315.89,Medium,No,46.0,49.8,50.4,35.6,58.5,0.7166,0.4565,-1.2431,-1.1798,-1.3221,6.157133645,30.256720849842385,15.855778671208661,5.291329745147111
Legal escalation,53.0,8,Bronze,Retail,South East,Education,Chat,Account,Locked account,Standard,Mobile,Morning,179,1,66,1.6,Yes,0,0,50,0.72,0.379010803,41.72,154.11,Medium,No,61.0,52.7,60.3,77.3,64.5,1.156,-0.5106,0.4855,-0.3288,-1.9533,7.629331511,44.3187649025546,19.77403883542653,19.81702328204964
No escalation,36.0,71,Bronze,Retail,North West,Retail,Phone,Other,Outage,Basic,Mobile,Evening,34,3,9,3.9,Yes,3,0,21,1.98,0.883016172,59.2,719.94,Medium,No,31.5,49.1,63.9,29.0,54.1,0.7361,-1.4275,1.4451,0.5497,1.3885,-0.489906522,0.0,5.597760125675128,4.961862370600415
Minor escalation,52.0,0,Bronze,Retail,South East,Finance,Phone,Account,Password reset,Standard,Mobile,Afternoon,267,0,22,4.6,Yes,2,0,13,3.73,0.644689963,40.86,344.9,Low,No,28.7,63.9,10.6,86.1,28.3,-0.4313,0.4401,-0.1837,0.4678,0.255,3.109583265,5.0732246461112025,13.308313111692403,2.338420894625969
No escalation,35.0,81,Silver,Retail,London,Education,Phone,Technical,Delayed delivery,Basic,Web,Afternoon,67,1,53,0.0,Yes,1,1,8,1.89,-1.31701483,41.06,462.91,Low,No,36.0,52.3,50.6,43.1,67.2,-1.3441,1.4648,-0.6552,-1.2642,-1.3074,-0.475929819,0.0,7.639478766749306,1.8385600121239407
Serious escalation,34.0,0,Silver,Retail,Wales,Hospitality,Chat,Technical,Wrong item,Basic,Web,Night,4,0,52,,Yes,1,0,14,2.65,1.416943285,30.67,569.73,Low,No,48.3,41.0,65.2,56.7,72.7,0.8216,0.5646,0.1052,-0.755,0.4216,5.656520414,38.81488149868775,9.490650652856427,4.049371308851965
Serious escalation,,37,Silver,Business,Scotland,Finance,Phone,Technical,Invoice error,Standard,Call-Centre,Night,65,1,35,,Yes,1,1,21,1.81,0.86503461,55.6,754.87,Medium,Yes,37.7,17.2,58.2,17.8,86.8,0.9555,-0.9487,-0.0066,0.6264,0.0433,5.02527941,41.40359500633218,10.764072086068051,10.729825569440726
No escalation,39.0,30,Bronze,Retail,Midlands,Hospitality,Phone,Other,Payment failed,Basic,Web,Afternoon,226,2,1,1.1,Yes,0,0,24,1.18,0.311734588,23.38,511.19,Medium,No,74.2,35.5,60.8,41.9,66.0,0.5444,-0.9188,0.0075,1.17,0.8431,0.047564351,11.541186630336998,7.668222773249126,6.420076813345837
Minor escalation,61.0,36,Silver,Retail,Scotland,Healthcare,Chat,Returns,Delayed delivery,Basic,Mobile,Morning,160,1,95,7.4,No,2,1,12,3.4,1.457704114,32.82,611.01,Low,No,64.9,86.8,58.3,62.0,18.9,-0.9478,-1.1737,-2.0185,-0.1971,-1.2208,2.021916801,7.738978440738396,14.098545565593861,2.4580438363013988
No escalation,32.0,0,Silver,Business,Soctland,Retail,Phone,Returns,Delayed delivery,Standard,Desktop,Night,135,0,36,0.0,Yes,1,0,19,1.21,-1.456847436,5.0,362.4,Low,No,49.4,46.2,61.2,73.3,44.1,0.4793,0.2215,-1.0138,-0.5327,-1.2008,0.21043726,0.0,1.0760379471590795,4.826957946672532
Serious escalation,26.0,90,Bronze,Retail,Scotland,Finance,Phone,Technical,Delayed delivery,Standard,Desktop,Night,222,1,30,0.0,Yes,0,0,16,2.39,0.19389353,74.89,134.44,Low,No,56.2,37.8,66.8,55.2,38.5,-0.3854,-0.4108,1.239,0.7709,-0.6213,5.310779353,32.131943016374144,17.496684913181877,7.091002120553604
Minor escalation,29.0,36,Bronze,Other,South East,Hospitality,Phone,Other,Other,Standard,Web,Afternoon,132,0,64,4.1,Yes,0,1,10,4.65,-0.197009373,49.29,462.81,Low,No,43.7,52.9,47.1,40.8,42.3,1.0934,1.2966,-0.6988,-0.1507,0.088,2.9173427,15.944019316220526,5.674115454049229,4.25346874292043
No escalation,42.0,0,Silver,Retail,South East,Finance,Email,Other,Payment failed,Standard,Mobile,Afternoon,134,1,57,2.0,Yes,2,1,10,3.56,0.29262543,48.78,497.55,Low,Yes,40.4,49.4,53.6,54.7,43.6,-0.3897,0.6222,0.5877,-0.8692,1.4971,0.990092516,0.0,9.420782770275988,3.0140254041654924
No escalation,43.0,71,Bronze,Retail,Wales,Finance,Phone,Billing,Slow internet,Standard,Call-Centre,Afternoon,239,3,2,2.9,Yes,2,0,20,1.83,0.518658055,30.0,524.85,Medium,Yes,67.1,37.2,35.6,34.6,29.8,0.3615,-0.2483,0.4367,-1.2723,0.6732,0.510076324,0.0,7.922253736291614,5.085696336723981
Minor escalation,34.0,31,Bronze,Student,North West,Tech,Phone,Billing,Delayed delivery,Premium,Mobile,Night,192,0,99,1.0,No,1,1,14,1.06,-0.118993615,29.26,479.21,Medium,Yes,60.1,88.8,49.4,29.7,48.7,-0.1994,-0.9825,0.8702,0.8522,-1.1971,2.143744512,14.376409602717818,12.974380821201795,1.1353173223389037
No escalation,21.0,36,Silver,Retail,Mdilands,Healthcare,Phone,Billing,Damaged item,Premium,Desktop,Morning,157,2,63,0.0,No,3,0,29,1.24,0.114365587,5.34,354.82,Low,No,32.0,36.1,52.2,62.4,59.2,1.1121,-0.2204,0.6094,0.6891,0.5624,0.521025048,0.0,9.80705551952886,3.3567927389033554
Serious escalation,18.0,117,Bronze,Business,London,Hospitality,Phone,Technical,Delayed delivery,Standard,Web,Morning,78,1,44,1.4,Yes,1,1,20,2.55,0.513815543,63.86,310.41,Low,No,45.7,32.5,38.3,35.6,24.1,-0.3203,-1.4572,-0.733,-2.0089,-1.2179,5.89371991,39.902013913723856,9.352254211606848,11.388752848157125
Serious escalation,31.0,15,Platinum,Business,North West,Finance,In-app,Account,Password reset,Basic,Call-Centre,Morning,370,2,1,1.5,Yes,1,0,11,2.76,-0.883665468,32.19,591.51,Low,Yes,32.2,64.6,60.7,38.0,69.5,0.8856,0.5636,0.0271,-0.0978,0.6676,5.760967862,26.36830066337251,19.715529337802323,13.467198921973143
Minor escalation,59.0,49,Silver,Retail,London,Retail,Phone,Account,Passwodr reset,Basic,Call-Centre,Evening,105,3,8,2.4,Yes,1,1,18,2.28,0.499681828,52.72,411.58,Medium,No,39.8,50.1,24.1,50.7,62.1,0.8898,0.0065,-1.1505,0.745,-0.0479,3.050992013,22.04491867663488,7.9474314299716,9.056655807487667
Minor escalation,63.0,15,Bronze,Retail,Midlands,Education,Email,Billing,Damaged item,Standard,Mobile,Afternoon,168,0,41,1.9,No,0,2,19,1.87,-1.447845601,38.05,50,High,No,56.4,65.1,23.4,35.4,51.5,-1.2643,-1.9161,-1.146,-1.1229,0.2505,3.035747593,19.149176042963816,10.661510870315782,10.492034850319829
No escalation,31.0,47,Silver,Retail,North West,Education,Phone,Billing,Outage,Basic,Desktop,Morning,333,2,56,7.7,Yes,2,0,7,1.31,-0.025733761,53.8,404.28,Low,No,58.4,31.3,34.5,56.8,25.6,0.4048,-0.0516,0.3056,-0.9798,0.0062,0.484239472,0.08152161139377513,17.82820613612304,1.3882555077785554
No escalation,52.0,0,Silver,Retail,South East,Retail,Chat,Account,Wrong item,Basic,Web,Night,228,1,1,,Yes,2,1,30,1.64,0.598238146,25.07,519.22,Medium,No,51.8,50.3,32.7,55.3,13.9,0.8525,-1.0586,-0.1259,0.859,-2.2192,-1.005966795,1.9602294674611864,8.789887814873875,7.941425366481132
Serious escalation,39.0,46,Gold,Business,London,Finance,Email,Billing,Damaged item,Premium,Desktop,Afternoon,259,1,26,7.8,Yes,0,0,22,4.07,1.080668364,57.44,447.83,Low,No,81.1,42.4,35.0,29.9,59.7,-0.2704,-1.5803,0.5616,0.3075,-0.5827,6.711934625,32.31086163874472,17.500088018415745,8.926596725207855
Minor escalation,38.0,0,Platinum,Business,Midlands,Finance,Phone,Other,Outage,Standard,Web,Morning,325,0,14,2.7,Yes,1,0,38,2.93,-1.653927357,67.24,273.2,Medium,No,66.8,38.9,36.9,51.2,43.3,0.5464,-0.612,0.4614,1.2838,1.4177,2.380114993,17.68171150133322,12.874044278356974,14.072706396935203
No escalation,28.0,59,Silver,Enterprise,North West,Retail,Chat,Orders,Outage,Basic,Mobile,Evening,108,0,41,0.0,No,0,0,3,1.74,-0.749094996,40.59,595.42,Medium,No,53.9,57.9,48.2,49.3,64.1,0.2201,0.8858,0.6092,-0.5523,-0.3822,-0.380177907,7.224416041690183,3.7147426799116787,0.0
